word_1,zhuyin_1,word_2,zhuyin_2,word_3,zhuyin_3,word_4,zhuyin_4
浴室,ㄩˋ ㄕˋ,軼事,ㄧˋ ㄕˋ,趣事,ㄑㄩˋ ㄕˋ,立志,ㄌㄧˋ ㄓˋ
草地,ㄘㄠˇ ㄉㄧˋ,角力,ㄐㄧㄠˇ ㄌㄧˋ,沼地,ㄓㄠˇ ㄉㄧˋ,掃地,ㄙㄠˇ ㄉㄧˋ
早晨,ㄗㄠˇ ㄔㄣˊ,吵人,ㄔㄠˇ ㄖㄣˊ,澡盆,ㄗㄠˇ ㄆㄣˊ,草繩,ㄘㄠˇ ㄕㄥˊ
月考,ㄩㄝˋ ㄎㄠˇ,夜烤,ㄧㄝˋ ㄎㄠˇ,月老,ㄩㄝˋ ㄌㄠˇ,路考,ㄌㄨˋ ㄎㄠˇ
脾氣,ㄆㄧˊ ㄑㄧˋ,毒氣,ㄉㄨˊ ㄑㄧˋ,名氣,ㄇㄧㄥˊ ㄑㄧˋ,迷信,ㄇㄧˊ ㄒㄧㄣˋ
公司,ㄍㄨㄥ ㄙ,燈絲,ㄉㄥ ㄙ,風濕,ㄈㄥ ㄕ,工資,ㄍㄨㄥ ㄗ
馬路,ㄇㄚˇ ㄌㄨˋ,跑步,ㄆㄠˇ ㄅㄨˋ,馬力,ㄇㄚˇ ㄌㄧˋ,腳步,ㄐㄧㄠˇ ㄅㄨˋ
游泳,ㄧㄡˊ ㄩㄥˇ,球友,ㄑㄧㄡˊ ㄧㄡˇ,擁有,ㄩㄥˇ ㄧㄡˇ,晨泳,ㄔㄣˊ ㄩㄥˇ
長大,ㄓㄤˇ ㄉㄚˋ,掌上,ㄓㄤˇ ㄕㄤˋ,手上,ㄕㄡˇ ㄕㄤˋ,穩當,ㄨㄣˇ ㄉㄤˋ
希望,ㄒㄧ ㄨㄤˋ,金礦,ㄐㄧㄣ ㄎㄨㄤˋ,聽話,ㄊㄧㄥ ㄏㄨㄚˋ,冰棒,ㄅㄧㄥ ㄅㄤˋ
